image,xmin,ymin,xmax,ymax,label
000.jpg,1851,1093,2541,1800,bar_clamp
001.jpg,1837,1135,2525,1629,bar_clamp
002.jpg,1996,903,2509,1558,bar_clamp
003.jpg,2128,1017,2754,1487,bar_clamp
004.jpg,2186,1097,2796,1739,bar_clamp
005.jpg,980,390,1609,994,bar_clamp
006.jpg,218,416,854,1049,bar_clamp
007.jpg,199,1497,706,2100,bar_clamp
008.jpg,883,2229,1506,2726,bar_clamp
009.jpg,273,2174,851,2813,bar_clamp
010.jpg,1844,2449,2460,2910,bar_clamp
011.jpg,2960,2290,3577,2942,bar_clamp
012.jpg,3377,1481,3931,2052,bar_clamp
013.jpg,2606,1529,3067,2103,bar_clamp
014.jpg,3318,784,3918,1365,bar_clamp
015.jpg,3209,158,3880,687,bar_clamp
016.jpg,2551,468,3170,923,bar_clamp
017.jpg,638,507,1267,1061,bar_clamp
018.jpg,680,1678,1277,2194,bar_clamp
019.jpg,1818,1410,2464,1745,bar_clamp
020.jpg,1896,1216,2422,1813,bar_clamp
021.jpg,2154,910,2764,1481,bar_clamp
022.jpg,2325,1339,2989,1897,bar_clamp
023.jpg,2180,1842,2622,2516,bar_clamp
024.jpg,2915,2029,3531,2671,bar_clamp
025.jpg,3109,1358,3870,1855,bar_clamp
026.jpg,2980,510,3618,1126,bar_clamp
027.jpg,2457,116,2902,794,bar_clamp
028.jpg,1573,216,2177,800,bar_clamp
029.jpg,906,520,1609,1013,bar_clamp
030.jpg,273,1465,957,1916,bar_clamp
031.jpg,909,2168,1409,2871,bar_clamp
032.jpg,2125,2258,2722,2910,bar_clamp
033.jpg,3309,2184,4032,2671,bar_clamp
034.jpg,3054,1187,3683,1810,bar_clamp
035.jpg,1083,555,1573,1220,bar_clamp
036.jpg,1086,1687,1541,2310,bar_clamp
037.jpg,2306,1652,2870,2207,bar_clamp
038.jpg,1286,136,1896,658,bar_clamp
039.jpg,2035,1174,2593,1774,bar_clamp
040.jpg,1444,1597,2015,2290,bar_clamp
041.jpg,1393,755,2073,1368,bar_clamp
042.jpg,2564,549,3154,1236,bar_clamp
043.jpg,3418,1013,4015,1678,bar_clamp
044.jpg,3044,420,3706,1100,bar_clamp
045.jpg,2489,2049,3186,2536,bar_clamp
046.jpg,586,2068,1193,2787,bar_clamp
047.jpg,106,1320,715,1923,bar_clamp
048.jpg,312,181,983,797,bar_clamp
049.jpg,2160,365,2851,894,bar_clamp
050.jpg,3454,768,4032,1494,bar_clamp
051.jpg,202,2271,951,2890,bar_clamp
052.jpg,2293,2142,2938,2903,bar_clamp
053.jpg,3073,1378,3880,1874,bar_clamp
054.jpg,2654,145,3318,820,bar_clamp
055.jpg,1331,65,1906,800,bar_clamp
056.jpg,377,81,1035,758,bar_clamp
057.jpg,812,2081,1457,2752,bar_clamp
058.jpg,1102,1584,1815,2129,bar_clamp
059.jpg,1767,1349,2380,1858,bar_clamp
060.jpg,1386,1271,1928,1855,bar_clamp
061.jpg,2015,1858,2570,2490,bar_clamp
062.jpg,2883,1671,3444,2342,bar_clamp
063.jpg,2744,955,3444,1497,bar_clamp
064.jpg,2212,371,2880,807,bar_clamp
065.jpg,1112,3,1715,526,bar_clamp
066.jpg,199,100,802,807,bar_clamp
067.jpg,2999,313,3757,849,bar_clamp
068.jpg,3147,2120,3754,2836,bar_clamp
069.jpg,1586,2290,2241,2823,bar_clamp
070.jpg,131,2374,838,3003,bar_clamp
071.jpg,109,1116,647,1755,bar_clamp
072.jpg,3041,249,3757,778,bar_clamp
073.jpg,1751,1,2357,529,bar_clamp
074.jpg,822,161,1406,803,bar_clamp
075.jpg,1612,881,2164,1471,bar_clamp
076.jpg,1189,1513,1796,1923,bar_clamp
077.jpg,1767,1571,2231,2161,bar_clamp
078.jpg,2025,1507,2635,1881,bar_clamp
079.jpg,1812,820,2331,1484,bar_clamp
080.jpg,2880,1394,3360,1997,bar_clamp
081.jpg,2415,1042,2983,1507,bar_clamp
082.jpg,1728,671,2367,1181,bar_clamp
083.jpg,980,581,1586,1223,bar_clamp
084.jpg,1002,1703,1618,2316,bar_clamp
085.jpg,3089,958,3706,1655,bar_clamp
086.jpg,2593,526,3209,1042,bar_clamp
087.jpg,1973,207,2383,865,bar_clamp
088.jpg,2312,1694,2809,2368,bar_clamp
089.jpg,1354,832,1960,1449,bar_clamp
090.jpg,606,1378,1283,1874,bar_clamp
091.jpg,1086,1990,1718,2439,bar_clamp
092.jpg,1780,471,2289,1120,bar_clamp
093.jpg,2506,1078,3115,1736,bar_clamp
094.jpg,2957,1790,3454,2481,bar_clamp
095.jpg,3267,1158,3954,1632,bar_clamp
096.jpg,2744,368,3367,832,bar_clamp
097.jpg,1644,29,2267,613,bar_clamp
098.jpg,1638,2316,2322,2884,bar_clamp
099.jpg,1693,1400,2318,1774,bar_clamp
100.jpg,1496,1313,2131,1752,bar_clamp
101.jpg,1909,845,2641,1390,bar_clamp
102.jpg,1673,229,2177,913,bar_clamp
103.jpg,328,120,1041,765,bar_clamp
104.jpg,431,1090,1199,1568,bar_clamp
105.jpg,344,2020,986,2720,bar_clamp
106.jpg,2993,1158,3518,1849,bar_clamp
107.jpg,2686,187,3415,732,bar_clamp
108.jpg,1818,1178,2360,1865,bar_clamp
109.jpg,1015,1778,1738,2416,bar_clamp
110.jpg,2912,1103,3599,1813,bar_clamp
111.jpg,3244,536,3806,1210,bar_clamp
112.jpg,1080,1290,1818,1823,bar_clamp
113.jpg,396,507,1054,1149,bar_clamp
114.jpg,3025,1978,3718,2613,bar_clamp
115.jpg,2915,2181,3625,2881,bar_clamp
116.jpg,3196,1758,3922,2300,bar_clamp
117.jpg,402,1994,1122,2558,bar_clamp
118.jpg,399,513,1089,984,bar_clamp
119.jpg,2473,1113,3138,1755,bar_clamp
120.jpg,2477,1620,2896,2310,bar_clamp
121.jpg,793,1384,1412,2010,bar_clamp
122.jpg,1154,923,1793,1571,bar_clamp
123.jpg,2838,607,3438,1239,bar_clamp
124.jpg,2654,1320,3254,2036,bar_clamp
125.jpg,1012,1442,1712,2029,bar_clamp
126.jpg,686,765,1228,1403,bar_clamp
127.jpg,177,703,741,1316,bar_clamp
128.jpg,3177,723,3777,1342,bar_clamp
129.jpg,1609,636,2096,1281,bar_clamp
130.jpg,3193,623,3812,1287,bar_clamp
131.jpg,622,723,1257,1410,bar_clamp
132.jpg,373,742,1035,1426,bar_clamp
133.jpg,3247,768,3954,1452,bar_clamp
134.jpg,347,642,947,1281,bar_clamp
135.jpg,238,765,870,1487,bar_clamp
136.jpg,812,449,1402,1103,bar_clamp
137.jpg,1389,961,2022,1490,bar_clamp
138.jpg,2257,655,2815,1323,bar_clamp
139.jpg,680,684,1235,1307,bar_clamp
